resource_type,owner_id,collection_type,external_id,id,name,full_name,description,attr:resultTarget,attr:Applicable Periods,ZenDesk: Year/Version,ZenDesk: Type,ZenDesk: Data Set,ZenDesk: JSON Link,ZenDesk: DATIM SqlView ID,ZenDesk: DATIM DataSet ID
Collection,PEPFAR,Code List,H4N0I02dn1L,MER_R_COMMUNITY_BASED,MER R: Community Based,MER Results: Community Based,,Result,FY23,FY23,Result,Community Based Code List,https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:H4N0I02dn1L,DotdxKrNZxG,H4N0I02dn1L
Collection,PEPFAR,Code List,mIogpOrWQt3,MER_R_COMMUNITY_BASED_DOD_ONLY,MER R: Community Based - DoD ONLY,MER Results: Community Based - DoD ONLY,,Result,FY23,FY23,Result,Community Based - DoD ONLY Code List,https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:mIogpOrWQt3,DotdxKrNZxG,mIogpOrWQt3
Collection,PEPFAR,Code List,iU1zca2XkDh,MER_R_FACILITY_BASED,MER R: Facility Based,MER Results: Facility Based,,Result,FY23,FY23,Result,Facility Based Code List,https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:iU1zca2XkDh,DotdxKrNZxG,iU1zca2XkDh
Collection,PEPFAR,Code List,s2XLkUIr1pZ,MER_R_FACILITY_BASED_DOD_ONLY,MER R: Facility Based - DoD ONLY,MER Results: Facility Based - DoD ONLY,,Result,FY23,FY23,Result,Facility Based - DoD ONLY Code List,https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:s2XLkUIr1pZ,DotdxKrNZxG,s2XLkUIr1pZ
Collection,PEPFAR,Code List,cgz9FFudOED,MER_R_OPERATING_UNIT_LEVEL_IM,MER R: Operating Unit Level (IM),MER Results: Operating Unit Level (IM),,Result,FY23,FY23,Result,Operating Unit Level (IM),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:cgz9FFudOED,DotdxKrNZxG,cgz9FFudOED
Collection,PEPFAR,Code List,jgptHeNIRZT,MER_R_NARRATIVES_IM,MER R: Narratives (IM),MER Results: Narratives (IM),,Result,FY23,FY23,Result,Narratives (IM),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:jgptHeNIRZT,DotdxKrNZxG,jgptHeNIRZT
Collection,PEPFAR,Code List,GnNPsPVayJe,HC_R_NARRATIVES_USG,HC R: Narratives (USG),Host Country Results: Narratives (USG),,Result,FY23,FY23,Result,Host Country Results: Narratives (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:GnNPsPVayJe,DotdxKrNZxG,GnNPsPVayJe
Collection,PEPFAR,Code List,SvB9jxGh25p,HC_R_OPERATING_UNIT_LEVEL_USG,HC R: Operating Unit Level (USG),Host Country Results: Operating Unit Level (USG),,Result,FY23,FY23,Result,Host Country Results: Operating Unit Level (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:SvB9jxGh25p,DotdxKrNZxG,SvB9jxGh25p
Collection,PEPFAR,Code List,fZVvcMSA9mZ,HC_R_COP_PRIORITIZATION_SNU_USG,HC R: COP Prioritization SNU (USG),Host Country Results: COP Prioritization SNU (USG),,Result,FY23,FY23,Result,Host Country Results: COP Prioritization SNU (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:fZVvcMSA9mZ,DotdxKrNZxG,fZVvcMSA9mZ
Collection,PEPFAR,Code List,wqczzo0ayMa,HC_R_FACILITY_USG,HC R: Facility (USG),Host Country Results: Facility (USG),,Result,FY23,FY23,Result,Host Country Results: Facility (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:wqczzo0ayMa,DotdxKrNZxG,wqczzo0ayMa
