MER Guidance Version,id,resource_type,owner_id,source,name,concept_class,attr:Period,attr:Guidance Version,attr:Indicator Group,description,attr:Numerator,attr:Numerator Description,attr:Denominator,attr:Denominator Description,attr:Change from previous version,attr:Reporting level,attr:Reporting frequency,attr:Reporting frequency notes,attr:How to use,attr:How to collect,attr:How to review for data quality,attr:How to calculate annual total,attr:Numerator Disaggregation Groups,attr:Denominator Disaggregation Groups,attr:Disaggregate descriptions and definitions,attr:Data entered by,attr:Targets,attr:PEPFAR-support definition,attr:Guiding narrative questions,attr:General DREAMS narrative questions,attr:Data Visualization and Use Examples,attr:Required Disaggregates for DREAMS,attr:DREAMS Reporting Level,attr:DREAMS SNU Specific Guidance,attr:EA/SIMS considerations,attr:Additional Resources,update_comment,Notes (not for import)
FY16 (v2.0),BS_COLL,Concept,PEPFAR,MER,BS_COLL,Reference Indicator,FY16,v2.0,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,MER v2.0 (FY16),
FY16 (v2.0),CARE_COMM,Concept,PEPFAR,MER,CARE_COMM,Reference Indicator,FY16,v2.0,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,MER v2.0 (FY16),
FY16 (v2.0),CARE_CURR,Concept,PEPFAR,MER,CARE_CURR,Reference Indicator,FY16,v2.0,,,,,,,,Facility,Semi-Annually,,,,,,"Numerator ≥ subtotal of age/sex disaggregation

* The total number of individuals enrolled in clinical care should be greater
or equal to the sum of the age/sex disaggregations

Relationship between CARE_CURR & CARE_NEW

* CARE_CURR ≥ CARE_NEW

    * The number of individuals enrolled in clinical care (CARE_CURR) must be greater than or equal to the number of individuals newly enrolled in clinical care (CARE_NEW)",,"Only one age disaggregation type is used for age/sex

* The number of individuals enrolled in clinical care must be disaggregated by age. If possible, the finer age disaggregations should be used (<1, 1-4, 5-9, 10-14, 15-19, 20-24, 25-49, 50+). If the finer age disaggregations are not possible, then, and only then, should the aggregated age disaggregations be used (<15, 15+).",,,,,,,,,,,,MER v2.0 (FY16),
FY16 (v2.0),CARE_NEW,Concept,PEPFAR,MER,CARE_NEW,Reference Indicator,FY16,v2.0,Clinical Services,,,,,,,Facility,Quarterly,,,,,,"Numerator ≥ subtotal of age/sex disaggregation

* The total number of individuals newly enrolled in clinical care should be
greater or equal to the sum of the age/sex disaggregations

Relationship between CARE_CURR & CARE_NEW

* CARE_CURR ≥ CARE_NEW

    * The number of individuals enrolled in clinical care (CARE_CURR) must be greater than or equal to the number of individuals newly enrolled in clinical care (CARE_NEW)",,"Only one age disaggregation type is used for age/sex

* The number of individuals newly enrolled in clinical care must be disaggregated by age. If possible, the finer age disaggregations should be used (<1, 1-4, 5-9, 10-14, 15-19, 20-24, 25-49, 50+). If the finer age disaggregations are not possible, then, and only then, should the aggregated age disaggregations be used (<15, 15+).
",,,,,,,,,,,,MER v2.0 (FY16),
FY16 (v2.0),FN_ASSESS,Concept,PEPFAR,MER,FN_ASSESS,Reference Indicator,FY16,v2.0,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,MER v2.0 (FY16),
FY16 (v2.0),FN_THER,Concept,PEPFAR,MER,FN_THER,Reference Indicator,FY16,v2.0,,,,,,,,Facility,Annually,,,,,,,,,,,,,,,,,,,,MER v2.0 (FY16),
FY16 (v2.0),FPINT_SITE,Concept,PEPFAR,MER,FPINT_SITE,Reference Indicator,FY16,v2.0,,,,,,,,Facility,Annually,,,,,,,,,,,,,,,,,,,,MER v2.0 (FY16),
FY16 (v2.0),GEND_GBV,Concept,PEPFAR,MER,GEND_GBV,Reference Indicator,FY16,v2.0,Prevention and Support,"Number of people receiving post-Gender Based Violence (GBV) clinical services minimum package.

* This indicator uses the number of people receiving post-GBV clinical services to measure service uptake. An increase in the number of people receiving post-GBV care will indicate that more patients are disclosing violence to providers and using the available services.

* GBV is defined as any form of violence that is directed at an individual based on his or her biological sex, gender identity or expression, or his or her perceived adherence to socially-defined expectations of what it means to be a man or woman, boy or girl. It includes physical, sexual, and psychological abuse; threats; coercion; arbitrary deprivation of liberty; and economic deprivation, whether occurring in public or private life.
",Number of people receiving post-Gender Based Violence (GBV) clinical services minimum package.,"_Definitions_

* Gender: Gender is not interchangeable with women or sex. It is a culturally-defined set of economic, social, and political roles, responsibilities, rights, entitlements obligations, associated with being female and male, as well as the power relations between and among women and men, boys and girls.

* GBV: For PEPFAR, GBV is defined as any form of violence that is directed at an individual based on his or her biological sex, gender identity or expression, or his or her perceived adherence to socially-defined expectations of what it means to be a man or woman, boy or girl. It includes physical, sexual, and psychological abuse; threats; coercion; arbitrary deprivation of liberty; and economic deprivation, whether occurring in public or private life. It can affect women and girls, men and boys, and other gender identities. PEPFAR is most likely to address physical and sexual intimate partner violence, including marital rape; sexual assault or rape; female genital cutting/mutilation; sexual violence against children and adolescents; and child marriage.

* Because of the challenges associated with ascertaining whether a person who experienced sexual violence did so because of their biological sex, gender identity, or his or her perceived adherence to socially defined norms of masculinity and femininity, ALL persons who experience sexual violence and present for care, independent of the cause, or of age and sex, should be counted under this indicator.
",N/A,,Age/sex disaggregates modified to align across clinical cascade. Numerator text modified for clinical focus and therefore facility only. indicator.,Facility & Community,Annually,Report 12 months of results at Q4/APR,"This indicator measures delivery of a basic package of post-GBV clinical services (including PEP). NOTE: This indicator DOES NOT include GBV Prevention activities or non-clinical community-based GBV response (e.g., shelter programs, case management).

This indicator will enable PEPFAR to:

* To determine the number of individuals that are suffering from GBV and reporting to clinical partners

* To assess whether post-GBV clinical services are being used.

* Gain an understanding of the uptake of post-GBV clinical services offered across PEPFAR countries.

* Provide important information to key stakeholders about PEPFAR programs that mitigate women and girls’ and other marginalized populations’ vulnerability to HIV/AIDS.

* Support efforts to assess the impact of post-GBV clinical services by correlating the reach (i.e., number of people served) of these services over time with outcomes related to GBV (and HIV/AIDS), as described through other data collection efforts such as survey data (DHS/PHIA/VACS).

* Identify programmatic gaps by analyzing the number and ages of people receiving services, as well as the reach of services in particular geographic areas.
","Data sources are standard program monitoring tools, such as forms, log books, spreadsheets and databases that national programs and/or partners develop or already use.

Data should be collected continuously at the point of service delivery (i.e., ANC, PMTCT, ART etc) and aggregated in time for PEPFAR reporting cycles.

The indicator can be generated by counting the number of persons receiving post-GBV clinical care, disaggregated by the age group and sex of the client receiving the service, as well as the type of service (sexual violence or emotional/physical violence) and PEP provision (see below for disaggregation information).

To adequately capture the provision of these services, logs and monitoring forms will need to be used wherever the services are offered. These forms will need to track both the outcome of the initial assessment and the provision of referrals or services. For PEP specifically, registries should collect both the administration of the PEP as well as its completion and the patient’s adherence.

Special considerations:

* As outlined in the Program Guide for Integrating GBV Prevention and Response in PEPFAR Programs all programs seeking to address GBV must first and foremost protect the dignity, rights, and well-being of those at risk for, and survivors of, GBV. There are four fundamental principles for integrating a GBV response into existing programs and specific actions for putting these principles into practice. These principles are as follows:

    * Do no harm

    * Privacy, confidentiality, and informed consent

    * Meaningful engagement of people living with HIV (PLHIV) and GBV survivors

    * Accountability and M&E
",Numerator ≥ subtotal of each of the disaggregation: The number of people receiving post-GBV clinical care should be greater or equal to the sum of each individual disaggregate group.,Use annual result reported at Q4/APR,"Numerator: Number of people receiving post-GBV clinical care based on the minimum package

Violence Service Type

* SEXUAL Violence; PHYSICAL and/or EMOTIONAL Violence

    1. Sexual violence (post-rape care): Although guidelines for post-rape care will vary from country to country, in addition to treatment of serious or life-threatening medical issues (e.g., lacerations, broken bones) and the necessary forensic interviews and examinations, the minimum package of post-rape care services should always begin with an assessment of the client’s specific needs.

    The following represents the Minimum Package for post-rape care services that must be in place to count under this indicator:

    * Provision of Clinical Services: (all of the following must be in place, including relevant commodities, and ability to count individuals— independent of whether individuals use the specific service)

        * Rapid HIV testing with referral to care and treatment as appropriate

        * Post exposure prophylaxis (PEP) for HIV -- if person reached within the first 72 hours

        * STI screening/testing and treatment

        * Emergency contraception, where legal and in accordance with national guidelines – if person reached within the first 72 hours (note that PEPFAR funds cannot be used to procure EC)

        * Counseling (other than counseling for testing, PEP, STI and EC)

2.	Physical and/or emotional violence (other Post-GBV care): GBV can take many forms, and includes physical and emotional violence. The following services should be available for persons who have experienced GBV that is not sexual. Services should always begin with an assessment of the client’s specific needs and include, as appropriate. The following represents the Minimum Package for other post-GBV care services that must be in place to count under this indicator:

    * Provision of Clinical Services: (all of the following must be in place and available to count persons—independent of whether people use the specific service)

        * Rapid HIV testing with referral to care and treatment as appropriate (Please note that individuals should also be counted under the MER HIV testing and counseling indicator (i.e., # of individuals who received HIV testing and counseling services and received their results).

        * STI screening/testing and treatment

        * Counseling (other than for HIV counseling and testing)

    For both Sexual violence and Physical and/or emotional violence: These cannot be counted for the indicator alone, however where applicable should be offered:

        * Longer-term psycho-social support (e.g., peer support groups)

        * Legal counsel

        * Police

        * Child protection services

        * Economic empowerment

Age/Sex

* <10 F, 10-14 F, 15-17F, 18-19 F, 20-24 F, 25-49 F, 50+ F; <10 M, 10-14 M, 15-17M, 18-19 M, 20-24 M, 25-49 M, 50+ M;

[Disagg of Violence Service Type SEXUAL] PEP

* Number of people receiving PEP services (related to sexual violence services provided)

    * Post-exposure prophylaxis (PEP): PEP service provision should only be counted under this indicator if the individual receives PEP treatment (i.e., drugs) in accordance with international and/or national protocols, guidelines, etc., and if the individual completes the full course of treatment. If an individual is provided with PEP, completes the full course of treatment (and meets the other criteria detailed within this indicator reference sheet) the individual should be counted under this GBV care indicator. The individual should not be additionally counted under other MER treatment indicators (e.g., # of individuals new on ART; # of individuals ever on ART, etc.) PEP is intended to prevent HIV infection, while other MER treatment indicators monitor ARV provision to those who are HIV positive.



  ",N/A,,,,Standard definition of DSD and TA used.,,,,"Females: 10-14 15-19, 20-24; Type of Service: sexual violence (post-rape care), physical
and/or emotional violence (other GBV care), PEP service provision
",All partners providing post violence care,"Females: 10-14 15-17, 18-19, 20-24; Type of Service: sexual violence (post-rape care), physical and/or emotional violence (other GBV care), PEP service provision
",,,MER v2.0 (FY16),
FY16 (v2.0),GEND_NORM,Concept,PEPFAR,MER,GEND_NORM,Reference Indicator,FY16,v2.0,,,,,,,,Facility & Community,Annually,,,,,,,,,,,,,,,,,,,,MER v2.0 (FY16),
FY16 (v2.0),HRH_CURR,Concept,PEPFAR,MER,HRH_CURR,Reference Indicator,FY16,v2.0,,,,,,,,Facility & Community,Annually,,,,,,,,,,,,,,,,,,,,MER v2.0 (FY16),
